radius,ay,z,y,x,vy
1.0,0.0261,0.21038,-1.7742,4.9139,-0.0122
1.0,0.0078,-2.38039,-3.2389,-4.8877,0.0066
1.0,-0.0122,1.19048,2.4787,-4.4615,0.0107
1.0,0.005,-1.00517,-0.6764,4.9037,0.0068
1.0,0.0067,3.62837,3.955,3.3346,0.0031
1.0,-0.0514,-3.7297,-0.7402,-4.4666,0.0155
1.0,0.0056,-3.485,-2.7625,-3.8618,-0.0348
1.0,0.0759,-1.10049,3.4417,-0.4792,-0.0154
1.0,-0.0414,-2.33161,-0.1942,-4.231,0.018
1.0,0.0085,-3.47301,-0.342,1.5795,0.0053
1.0,-0.0123,-3.95437,-2.1213,4.6001,0.0026
1.0,-0.0336,3.31162,4.0552,0.818,0.0104
1.0,-0.005,-0.84671,-2.3297,-4.3119,0.0085
1.0,0.0393,4.56629,3.3724,4.908,-0.0026
1.0,0.013,-2.36935,-1.8345,-4.5853,0.0065
1.0,-0.0223,1.95357,3.6435,2.2992,-0.0066
